Curso["Habilitação", "1112", "BACHARELADO EM FÍSICA                                                 "]
["Nível", "2", "GR"]
["Currículo vigente em", "20142", ""]
["Reconhecida pelo MEC", "Sim", ""]
["Duração", "Plena", ""]
["Créditos por período", "Mínimo 16", "Máximo 32"]
["Limite de permanência semestral", "Mínimo 8", "Máximo 12"]
["Créditos exigidos", "176", ""]
["Módulo livre", "24", ""]
Obrigatórias
[Código, Disciplina, Créditos, Área]
["", "113034", "CÁLCULO 1                       ", "002 004 000 006", "AC"]
["", "113042", "CÁLCULO 2                       ", "004 002 000 006", "AC"]
["", "113051", "CÁLCULO 3                       ", "004 002 000 006", "AC"]
["", "108154", "ELETROMAGNETISMO                ", "006 000 000 006", "AC"]
["", "107760", "FÍSICA MATEMÁTICA A             ", "004 000 000 006", "AC"]
["", "107824", "FÍSICA MATEMÁTICA B             ", "004 000 000 006", "AC"]
["", "107701", "FUND MATEMÁTICOS DA FÍSICA A    ", "004 000 000 004", "AC"]
["", "107719", "FUND MATEMÁTICOS DA FÍSICA B    ", "004 000 000 004", "AC"]
["", "107859", "LAB DE ELETROMAGNETISMO A       ", "000 004 000 002", "AC"]
["", "107816", "LAB DE OSCIL, ONDAS E FLUIDOS   ", "000 004 000 002", "AC"]
["", "107735", "LAB INSTRUMENTAÇÃO CIENTIF A    ", "000 004 000 006", "AC"]
["", "107867", "LAB TERMOD E FIS ESTATÍSTICA    ", "000 004 000 002", "AC"]
["", "107808", "LABORATÓRIO DE FÍSICA MODERNA   ", "000 004 000 002", "AC"]
["", "107751", "LABORATÓRIO DE MECÂNICA         ", "000 004 000 002", "AC"]
["", "111023", "MECANICA                        ", "006 000 000 006", "AC"]
["", "107743", "MECÂNICA CLÁSSICA A             ", "004 000 000 006", "AC"]
["", "107786", "MECÂNICA CLÁSSICA B             ", "004 000 000 006", "AC"]
["", "107832", "MECÂNICA QUÂNTICA A             ", "004 000 000 006", "AC"]
["", "107891", "MECÂNICA QUÂNTICA B             ", "006 000 000 006", "AC"]
["", "107794", "MÉTODOS COMPUTACIONAIS A        ", "004 000 000 000", "AC"]
["", "107697", "MÉTODOS DA FÍSICA EXPERIMENTAL  ", "000 004 000 002", "AC"]
["", "107727", "ONDAS, ÓPTICA E TERMODINÂMICA   ", "006 000 000 006", "AC"]
["", "118800", "PROG PARA SISTEMAS FÍSICOS      ", "004 000 000 006", "AC"]
["", "108260", "PROJ DE TRAB DE CONCL DE CURS   ", "002 000 000 004", "AC"]
["", "107778", "RELATIVIDADE E FÍSICA QUÂNTICA  ", "006 000 000 006", "AC"]
