Curso["Habilitação", "3476", "HISTÓRIA                                                              "]
["Nível", "2", "GR"]
["Currículo vigente em", "20171", ""]
["Reconhecida pelo MEC", "Sim", ""]
["Duração", "Plena", ""]
["Créditos por período", "Mínimo 12", "Máximo 28"]
["Limite de permanência semestral", "Mínimo 8", "Máximo 14"]
["Créditos exigidos", "197", ""]
["Módulo livre", "24", ""]
Obrigatórias
[Código, Disciplina, Créditos, Área]
["", "125156", "DESENV PSICOLÓGICO E ENSINO     ", "004 000 000 004", "DC"]
["", "192015", "DIDÁTICA FUNDAMENTAL            ", "002 002 000 004", "DC"]
["", "203556", "FUND DO ENS DE HISTÓRIA         ", "004 002 000 006", "AC"]
["", "139068", "HISTÓRIA ANTIGA 1               ", "003 001 000 004", "AC"]
["", "139076", "HISTÓRIA ANTIGA 2               ", "003 001 000 004", "AC"]
["", "139165", "HISTÓRIA CONTEMPORÂNEA 1        ", "003 001 000 004", "AC"]
["", "139173", "HISTÓRIA CONTEMPORÂNEA 2        ", "004 000 000 004", "AC"]
["", "139351", "HISTÓRIA DA ÁFRICA              ", "003 001 000 004", "AC"]
["", "139114", "HISTÓRIA DA AMÉRICA 1           ", "003 001 000 004", "AC"]
["", "139122", "HISTÓRIA DA AMÉRICA 2           ", "003 001 000 004", "AC"]
["", "139131", "HISTÓRIA DO BRASIL 1            ", "004 000 000 004", "AC"]
["", "139149", "HISTÓRIA DO BRASIL 2            ", "003 001 000 004", "AC"]
["", "139157", "HISTÓRIA DO BRASIL 3            ", "003 001 000 004", "AC"]
["", "139343", "HISTÓRIA DO BRASIL 4            ", "003 001 000 004", "AC"]
["", "139084", "HISTÓRIA MEDIEVAL 1             ", "004 000 000 004", "AC"]
["", "139408", "HISTÓRIA MEDIEVAL 2             ", "003 001 000 004", "AC"]
["", "139092", "HISTÓRIA MODERNA 1              ", "003 001 000 004", "AC"]
["", "139106", "HISTÓRIA MODERNA 2              ", "003 001 000 004", "AC"]
["", "139033", "INTROD AO ESTUDO DA HISTÓRIA    ", "004 000 000 004", "AC"]
["", "135011", "INTRODUÇÃO À ANTROPOLOGIA       ", "004 000 000 004", "DC"]
["", "205311", "LABORATÓRIO DE ENS HISTÓRIA     ", "000 008 000 000", "AC"]
["", "150649", "LÍNGUA SINAIS BRAS - BÁSICO     ", "002 002 000 002", "DC"]
