Curso["Habilitação", "60844", "ENGENHARIA QUÍMICA                                                    "]
["Nível", "2", "GR"]
["Currículo vigente em", "20121", ""]
["Reconhecida pelo MEC", "Sim", ""]
["Duração", "Plena", ""]
["Créditos por período", "Mínimo 16", "Máximo 30"]
["Limite de permanência semestral", "Mínimo 10", "Máximo 18"]
["Créditos exigidos", "264", ""]
["Módulo livre", "24", ""]
Obrigatórias
[Código, Disciplina, Créditos, Área]
["", "113034", "CÁLCULO 1                       ", "002 004 000 006", "AC"]
["", "113042", "CÁLCULO 2                       ", "004 002 000 006", "AC"]
["", "113051", "CÁLCULO 3                       ", "004 002 000 006", "AC"]
["", "113417", "CALCULO NUMERICO                ", "004 000 000 006", "DC"]
["", "122408", "CIENCIAS DO AMBIENTE            ", "002 000 000 002", "AC"]
["", "106551", "CINÉTICA QUÍMICA                ", "002 000 000 002", "AC"]
["", "107484", "CONTROLE DE PROCESSOS           ", "004 000 000 004", "AC"]
["", "206831", "DES MECÂNICO PARA ENGENHARIA    ", "002 002 000 004", "DC"]
["", "100986", "ELETRICIDADE BÁSICA             ", "004 000 000 004", "AC"]
["", "110370", "ENGENHARIA  REATORES QUÍMICOS   ", "004 000 000 004", "AC"]
["", "104531", "ESTÁGIO SUPERVISIONADO          ", "011 000 000 011", "AC"]
["", "118001", "FISICA 1                        ", "004 000 000 000", "AC"]
["", "118028", "FISICA 2                        ", "004 000 000 000", "AC"]
["", "118044", "FISICA 3                        ", "004 000 000 000", "AC"]
["", "206571", "FUND DE FIS-QUÍMICA             ", "004 000 000 004", "AC"]
["", "114685", "FUND DE QUIMICA ORGANICA        ", "004 000 000 004", "AC"]
["", "114081", "FUNDAMENTOS DE QUÍMICA          ", "006 000 000 004", "AC"]
["", "168921", "HIGIENE E SEGURANÇA TRABALHO    ", "002 000 000 002", "AC"]
["", "107492", "INSTR DE CONTROLE DE PROCESSOS  ", "004 000 000 004", "AC"]
["", "168823", "INTROD À CIÊNCIA DOS MATERIAIS  ", "002 001 000 003", "DC"]
["", "113093", "INTRODUCAO A ALGEBRA LINEAR     ", "002 002 000 006", "AC"]
["", "100510", "INTRODUÇÃO À COMP A P QUÍMICOS  ", "002 002 000 000", "AC"]
["", "107506", "LAB DE CONTROLE DE PROCESSOS    ", "000 002 000 000", "AC"]
["", "104426", "LAB DE ENGENHARIA QUIMICA 1     ", "000 002 000 002", "AC"]
["", "104361", "LAB DE ENGENHARIA QUÍMICA 2     ", "000 002 000 002", "AC"]
["", "119032", "LABORATORIO DE FISICO QUIMICA   ", "000 004 000 004", "AC"]
